"Backend Name","Backend Rate","V6 Function Name"
"HEDISHP2018PlanAllCauseReadmission",Default,"measure.HEDISHP2018PlanAllCauseReadmission"
HEDISHP2020SSD,Default,measure.HEDISHP2020SSD
OHA2021WCV,alp.cln.enc.age[3-6],measure.OHA_2021_WCV
"IPP2020AdolescentPreventiveCareDepression",Default,"measure.IPP2020AdolescentPreventiveCareDepression"
HEDISMY2021IADTELAL,alp.cln,measure.HEDIS_MY2021_IAD
"HEDISHPNE2018AdultAccessToHealthServices65Plus",Default,"measure.HEDISHPNE2018AdultAccessToHealthServices65Plus"
"HEDISHPC2019WeightAssessChildAdol",Default,"measure.HEDISHPC2019WeightAssessChildAdol"
"HEDISPMHP2020CervicalCancerScreenCommercial",Default,"measure.HEDISPMHP2020CervicalCancerScreenCommercial"
HEDISHPCNEMY2020IETBOT,Default,"measure.HEDISHPCNEMY2020IETBOT"
"HEDISHPC2019PsychosocialCare6to11",Default,"measure.HEDISHPC2019PsychosocialCare6to11"
HEDISMY2021AAB,alp.cln.inv.age[18-64],measure.HEDIS_MY2021_AAB
"HEDISPMHP2018PsychosocialCare",Default,"measure.HEDISPMHP2018PsychosocialCare"
HEDISMY2020FSPHYA,alp.cln.nec,measure.HEDIS_MY2020_FSP
"HEDISPMNIMY2020URI3monthsto17",Default,"measure.HEDISPMNIMY2020URI3monthsto17"
HEDISMY2021COA1,ine,measure.HEDIS_MY2021_COA
OHA2021DentalOral,alp.clm.age[1-5],"measure.OHA_2021_PREVENTIVEDENTAL"
HEDISMY2021IADANYAL,alp,measure.HEDIS_MY2021_IAD
"HEDISPMMY2020IETBOT13to17",Default,"measure.HEDISPMMY2020IETBOT13to17"
HEDISMY2021ABXamox,alp,"measure.HEDIS_MY2021_ABXamox"
"HEDISPM2020DSFScreening65plus",Default,"measure.HEDISPM2020DSFScreening65plus"
HEDISPM2020SPR,Default,measure.HEDISPM2020SPR
"HEDISPMHP2020DRRFollowUp45to64",Default,"measure.HEDISPMHP2020DRRFollowUp45to64"
HEDISMY2021AAP,alp.age[20-44],measure.HEDIS_MY2021_AAP
"HEDISHPCNE2019NonRecCervicalCancerScreening",Default,"measure.HEDISHPCNE2019NonRecCervicalCancerScreening"
"HEDISPM2020ASFFollowUpCare",Default,"measure.HEDISPM2020ASFFollowUpCare"
HEDISMY2021ABXtet,Default,"measure.HEDIS_MY2021_ABXtet"
HEDISMY2021IETBAL,alp.cln.nec.age[13-17],measure.HEDIS_MY2021_IET
HEDISMY2021PPC2,alp.age[0-64],measure.HEDIS_MY2021_PPC
"HEDISHPNE2020AntidepressantMedManagementCont",Default,"measure.HEDISHPNE2020AntidepressantMedManagementCont"
HEDISMY2020IMAMEN,alp.cln.enc,measure.HEDIS_MY2020_IMA
"HEDISPMHP2020FUM30Day18to64",Default,"measure.HEDISPMHP2020FUM30Day18to64"
"CMS347v2StatinCVDClinical",Default,"measure.CMS347v2StatinCVDClinical"
HEDISMY2020AAP,alp.clm.nec,measure.HEDIS_MY2020_AAP
HEDISMY2020IETBOP,age[18-200],measure.HEDIS_MY2020_IET
HEDISMY2020SAA,alp.clm.nec,measure.HEDIS_MY2020_SAA
HEDISPMHPMY2020IETBOT,Default,"measure.HEDISPMHPMY2020IETBOT"
HEDISMY2020DAE2,alp.cln.nec,measure.HEDIS_MY2020_DAE
"CMS155v8ChildWeightAssessNutrition12to17",Default,"measure.CMS155v8ChildWeightAssessNutrition12to17"
HEDISMY2020URI,alp.inv.nec.age[18-64],measure.HEDIS_MY2020_URI
HEDISMY2021PBH,alp.clm.nec,measure.HEDIS_MY2021_PBH
HEDISMY2021IADINPOT,alp.cln.enc,measure.HEDIS_MY2021_IAD
HEDISMY2021HFSB,alp.clm,measure.HEDIS_MY2021_HFS
"HEDISHPCNEMY2020WCCB12to17",Default,"measure.HEDISHPCNEMY2020WCCB12to17"
"HEDISHPC2020LBPUseOfImaging",Default,"measure.HEDISHPC2020LBPUseOfImaging"
HEDISMY2020CBP,age[18-64],measure.HEDIS_MY2020_CBP
"CMS159v6DepressionRemission",Default,"measure.CMS159v6DepressionRemission"
OHA2021Dental,alp.nec,"measure.OHA_2021_PREVENTIVEDENTAL"
HEDISMY2020FUA7,age[18-200],measure.HEDIS_MY2020_FUA
HEDISPMMY2020ADV,Default,measure.HEDISPMMY2020ADV
HEDISMY2020KED,alp.cln.enc.age[18-64],measure.HEDIS_MY2020_KED
"HEDISHPC2018AsthmaMedRatio",Default,"measure.HEDISHPC2018AsthmaMedRatio"
HEDISMY2021WCCC,alp.nec.age[3-11],measure.HEDIS_MY2021_WCC
HEDISMY2021IADEDOP,ine,measure.HEDIS_MY2021_IAD
"IPP2018AdolescentPreventiveCareTobacco",Default,"measure.IPP2018AdolescentPreventiveCareTobacco"
HEDISMY2021SPR,alp.clm,measure.HEDIS_MY2021_SPR
CMSACO2021MH112to17,Default,"measure.CMSACO2021MH112to17"
HEDISMY2021IADIOPOT,ine,measure.HEDIS_MY2021_IAD
HEDISMY2021WCCA,alp.age[3-11],measure.HEDIS_MY2021_WCC
HEDISMY2020APP,alp.nec,measure.HEDIS_MY2020_APP
"IPPADHDFollowUpContinuation",Default,"measure.IPPADHDFollowUpContinuation"
HEDISMY2020URI,alp.inv.age[65-200],measure.HEDIS_MY2020_URI
"HEDISHPC2018WellChild15Months5Visits",Default,"measure.HEDISHPC2018WellChild15Months5Visits"
"HEDISHP2019ChildhoodImmC10",Default,"measure.HEDISHP2019ChildhoodImmC10"
HEDISMY2020MPTIOP,alp.cln,measure.HEDIS_MY2020_MPT
"HEDISPM2018CDCA1cNotPoorControl",Default,"measure.HEDISPM2018CDCA1cNotPoorControl"
HEDISPMNIMY2020IETBT,Default,"measure.HEDISPMNIMY2020IETBT"
"HEDISHPC2019AdultBMIAssessment",Default,"measure.HEDISHPC2019AdultBMIAssessment"
2021OHAPreventiveOral,alp,"measure.OHA_2021_PREVENTIVEDENTAL"
"HEDISPMHP2020TelehealthAdjCOL",Default,"measure.HEDISPMHP2020TelehealthAdjCOL"
"CMS130v7ColorectalCancerScreeningClinical",Default,"measure.CMS130v7ColorectalCancerScreeningClinical"
"HEDISPM2020UtilizationPHQ9AssessmentPeriod2",Default,"measure.HEDISPM2020UtilizationPHQ9AssessmentPeriod2"
HedisCDCldlScreening,Default,"measure.HedisCDCldlScreening"
HEDISMY2021IETBAL,age[18-200],measure.HEDIS_MY2021_IET
HEDISMY2021IETBT,alp.clm.nec,measure.HEDIS_MY2021_IET
HEDISMY2021AISPNEU,alp.nec,"measure.HEDIS_MY2021_AISE"
HEDISMY2020FSPLUMP,alp.cln.enc,measure.HEDIS_MY2020_FSP
"HEDISHPCMY2020IETAAL18plus",Default,"measure.HEDISHPCMY2020IETAAL18plus"
HEDISHPNE2020FUA7day,Default,"measure.HEDISHPNE2020FUA7day"
HEDISMY2020HDO,alp.cln,measure.HEDIS_MY2020_HDO
HEDISMY2021IETBOP,alp.nec,measure.HEDIS_MY2021_IET
HEDISMY2021BILHDMCOMP,alp.cln.enc.inv,measure.HEDIS_MY2021_CDC
HEDISMY2021IETAOP,alp.clm.nec.age[13-64],measure.HEDIS_MY2021_IET
"HEDISPMNI2018ChildPrimaryCare25Mto6",Default,"measure.HEDISPMNI2018ChildPrimaryCare25Mto6"
HEDISMY2020PPC2A,alp.nec,measure.HEDIS_MY2020_PPC
HEDISHPNE2020ADV4to6,Default,"measure.HEDISHPNE2020ADV4to6"
HEDISMY2021NCS,ine,measure.HEDIS_MY2021_NCS
"HEDISHPC2019WellChild15Months6Visits",Default,"measure.HEDISHPC2019WellChild15Months6Visits"
HEDISMY2021COL45,alp.clm,"measure.HEDIS_MY2021_COL45"
HEDISMY2020FUM7,alp.cln.nec.age[65-200],measure.HEDIS_MY2020_FUM
HEDISHPCNEMY2020IETBAL,Default,"measure.HEDISHPCNEMY2020IETBAL"
"Hedis2017AdolescentWellCareNoInteractionClaims",Default,"measure.Hedis2017AdolescentWellCareNoInteractionClaims"
HEDISMY2020URI,alp.clm,measure.HEDIS_MY2020_URI
HEDISMY2020CDC2,alp.clm.age[18-64],measure.HEDIS_MY2020_CDC
HEDISMY2020IETAT,alp.clm.nec.age[13-17],measure.HEDIS_MY2020_IET
"HEDISHPNE2020WCCNutrition",Default,"measure.HEDISHPNE2020WCCNutrition"
"HEDISPMNI2019DepressionFollowUp",Default,"measure.HEDISPMNI2019DepressionFollowUp"
"HEDISHPNE2020MMA75Percent19to50",Default,"measure.HEDISHPNE2020MMA75Percent19to50"
OHA2021SBIRT2,alp.clm.nec,measure.OHA_2021_SBIRT
HEDISPMHPMY2020AISPNEU,Default,"measure.HEDISPMHPMY2020AISPNEU"
"HEDISHPCNE2018AntidepressantMedManagementAcute",Default,"measure.HEDISHPCNE2018AntidepressantMedManagementAcute"
HEDISHPC2020ASFScreening,Default,"measure.HEDISHPC2020ASFScreening"
HEDISMY2020IADTELT,alp.cln,measure.HEDIS_MY2020_IAD
"HEDISHPNE2018ChildPrimaryCare25Mto6",Default,"measure.HEDISHPNE2018ChildPrimaryCare25Mto6"
HEDISMY2020SPR,alp.cln.enc,measure.HEDIS_MY2020_SPR
"IPPAdolescentImmunizations",Default,"measure.IPPAdolescentImmunizations"
HEDISMY2021IETAOP,age[13-64],measure.HEDIS_MY2021_IET
HEDISHPCNE2020DAE,Default,"measure.HEDISHPCNE2020DAE"
HEDISMY2020FSPPCI,alp.nec,measure.HEDIS_MY2020_FSP
OHA2021PPC2,alp,measure.OHA_2021_PPC
OHA2021DISPEDUTIL,Default,"measure.OHA_2021_DISPARITYEDUTIL"
HEDISCERTMY2020HDO,Default,"measure.HEDISCERTMY2020HDO"
HEDISPMNI2020FUH7Day,Default,"measure.HEDISPMNI2020FUH7Day"
HEDISHPNEMY2020CISCMB2,Default,"measure.HEDISHPNEMY2020CISCMB2"
HEDISMY2020URIB,alp.cln,measure.HEDIS_MY2020_URI
HEDISMY2021IMAMEN,Default,measure.HEDIS_MY2021_IMA
"HEDISHPNE2018CDCNephropathy",Default,"measure.HEDISHPNE2018CDCNephropathy"
OHA2021Dental,alp.clm.age[1-5],"measure.OHA_2021_PREVENTIVEDENTAL"
"HEDISPMHPMY2020IETAOP13to17",Default,"measure.HEDISPMHPMY2020IETAOP13to17"
OHA2021ChildImmC2CISHEPB,alp.cln.enc,"measure.OHA_2021_ChildhoodImmC2"
"HEDISHPNE2020TelehealthAdjW34",Default,"measure.HEDISHPNE2020TelehealthAdjW34"
"HEDISHPCNE2019MedManageAsthma50Percent12to18",Default,"measure.HEDISHPCNE2019MedManageAsthma50Percent12to18"
"AH2018DiabetesDailyAspirinUse",Default,"measure.AH2018DiabetesDailyAspirinUse"
"HEDISPMNI2019AODInitiationOther",Default,"measure.HEDISPMNI2019AODInitiationOther"
HEDISMY2021FUA30,alp.cln.enc.age[13-17],measure.HEDIS_MY2021_FUA
"HEDISPMNI2018ChildhoodImmC3",Default,"measure.HEDISPMNI2018ChildhoodImmC3"
"HEDISHPC2020PsychosocialCare6to11",Default,"measure.HEDISHPC2020PsychosocialCare6to11"
HEDISMY2020CDC9,alp.cln.nec,measure.HEDIS_MY2020_CDC
HEDISMY2021IMACMB2,alp,measure.HEDIS_MY2021_IMA
"HEDISPMHP2019EdAODFollowUp30Day",Default,"measure.HEDISPMHP2019EdAODFollowUp30Day"
"HEDISHPMY2020URI18to64Inverse",Default,"measure.HEDISHPMY2020URI18to64Inverse"
HEDISMY2021CISOPV,alp.cln.nec,measure.HEDIS_MY2021_CIS
HEDISMY2020FSPCC,alp.nec,measure.HEDIS_MY2020_FSP
ACOIVDLDLControl,Default,measure.ACOIVDLDLControl
"HEDISHPCNE2020DSFFollowUp45to64",Default,"measure.HEDISHPCNE2020DSFFollowUp45to64"
HEDISMY2021CISHEPA,Default,measure.HEDIS_MY2021_CIS
HEDISPMHPMY2020ADD2,Default,"measure.HEDISPMHPMY2020ADD2"
HEDISMY2020DMS1,alp.cln.enc,"measure.HEDIS_MY2020_DMSE"
HEDISHPCNE2020CWP18to64,Default,"measure.HEDISHPCNE2020CWP18to64"
HEDISMY2020FSPPROS,Default,measure.HEDIS_MY2020_FSP
HEDISMY2020URI,"alp.cln.inv.nec.age[65-200]",measure.HEDIS_MY2020_URI
HEDISMY2021CBP,alp.cln.enc.age[18-64],measure.HEDIS_MY2021_CBP
HEDISMY2020FUA7,alp.nec,measure.HEDIS_MY2020_FUA
"HEDISHPC2019InpatientUtilizationSurgery",Default,"measure.HEDISHPC2019InpatientUtilizationSurgery"
"HEDISHPCNEMY2020AAB18to64",Default,"measure.HEDISHPCNEMY2020AAB18to64"
AMPMY2020CCO,alp,measure.AMPMY2020CCO
HEDISHPCMY2020CISVZV,Default,"measure.HEDISHPCMY2020CISVZV"
"HEDISHP2019AODEngagementAlcohol",Default,"measure.HEDISHP2019AODEngagementAlcohol"
HEDISMY2021IETAAL,alp.cln.enc.age[13-17],measure.HEDIS_MY2021_IET
"HEDISPMHP2019CervicalCancerScreen",Default,"measure.HEDISPMHP2019CervicalCancerScreen"
HEDISMY2021IETBT,alp.age[13-64],measure.HEDIS_MY2021_IET
CMSACO2021PREV13,Default,measure.CMSACO2021PREV13
"HEDISHPCNE2020TelehealthAdjAPP1to11",Default,"measure.HEDISHPCNE2020TelehealthAdjAPP1to11"
HEDISMY2020FUA30,alp.clm,measure.HEDIS_MY2020_FUA
HEDISMY2020CISCMB9,alp.cln.enc,measure.HEDIS_MY2020_CIS
HEDISMY2020CISROTA,alp.clm.nec,measure.HEDIS_MY2020_CIS
"HEDISHPNE2019AdultAccessToHealthServices45to64",Default,"measure.HEDISHPNE2019AdultAccessToHealthServices45to64"
"CMS155v8ChildWeightAssessBMI12to17",Default,"measure.CMS155v8ChildWeightAssessBMI12to17"
HEDISMY2020ABXmacro,alp.cln.nec,measure.HEDIS_MY2020_ABX
HEDISMY2020IETAOT,alp.cln,measure.HEDIS_MY2020_IET
HEDISMY2021ABXtet,alp,"measure.HEDIS_MY2021_ABXtet"
AMPMY2020SPCA,alp.cln,measure.AMPMY2020SPCA
HEDISMY2020ABX,alp,measure.HEDIS_MY2020_ABX
HEDISMY2020CWP,alp.clm.nec.age[65-200],measure.HEDIS_MY2020_CWP
HEDISMY2020UOPC,alp.cln,measure.HEDIS_MY2020_UOP
HEDISHPMY2020IETBT18plus,Default,"measure.HEDISHPMY2020IETBT18plus"
HEDISHPCMY2020CWP65Plus,Default,"measure.HEDISHPCMY2020CWP65Plus"
HEDISPMHP2020WCCPA,Default,"measure.HEDISPMHP2020WCCPA"
"HEDISPMNI2020URI65PlusInverse",Default,"measure.HEDISPMNI2020URI65PlusInverse"
"HEDISHP2020DSFFollowUp18to44",Default,"measure.HEDISHP2020DSFFollowUp18to44"
"HEDISPMHP2020W15TwoVisits",Default,"measure.HEDISPMHP2020W15TwoVisits"
HEDISMY2020IETAOP,alp.cln.nec.age[18-200],measure.HEDIS_MY2020_IET
HEDISMY2021ABXamox,alp.cln.enc,"measure.HEDIS_MY2021_ABXamox"
HEDISMY2021DAE2,alp,measure.HEDIS_MY2021_DAE
HEDISMY2021CBP,alp.cln.age[18-64],measure.HEDIS_MY2021_CBP
PCMHDateofBirthRecorded,Default,"measure.PCMHDateofBirthRecorded"
HEDISHP2020FUM30Day,Default,"measure.HEDISHP2020FUM30Day"
OHA2021SBIRT2,Default,measure.OHA_2021_SBIRT
HEDISMY2021DSFB,alp.cln.nec,"measure.HEDIS_MY2021_DSFE"
"HEDISHP2020UtilizationPHQ9AssessmentPeriod3",Default,"measure.HEDISHP2020UtilizationPHQ9AssessmentPeriod3"
HEDISMY2020FSPTON,alp.cln.nec,measure.HEDIS_MY2020_FSP
HEDISMY2020ABXket,alp.nec,measure.HEDIS_MY2020_ABX
"HEDISPMNI2020TeleHealthAdjCDCA1cControlLessThan7",Default,"measure.HEDISPMNI2020TeleHealthAdjCDCA1cControlLessThan7"
HEDISMY2020SPCB,alp.clm.nec,measure.HEDIS_MY2020_SPC
HEDISMY2021WCCC,age[12-17],measure.HEDIS_MY2021_WCC
OHA2021DentalOral,alp.nec.age[6-14],"measure.OHA_2021_PREVENTIVEDENTAL"
"HEDISHP2020DiabetesStatinReceived",Default,"measure.HEDISHP2020DiabetesStatinReceived"
HEDISMY2021CWP,alp.nec.age[3-17],measure.HEDIS_MY2021_CWP
HEDISMY2020CHL,alp.cln.nec,measure.HEDIS_MY2020_CHL
HEDISHPCMY2020IPUT,Default,"measure.HEDISHPCMY2020IPUT"
AMPMY2020SUPD,alp.clm,measure.AMPMY2020SUPD
HEDISMY2021CISPNEU,alp,measure.HEDIS_MY2021_CIS
"HEDISHP2020TelehealthAdjBetaBlockerPostAMI",Default,"measure.HEDISHP2020TelehealthAdjBetaBlockerPostAMI"
"HEDISPMHP2020TelehealthAdjFUM30Day6to17",Default,"measure.HEDISPMHP2020TelehealthAdjFUM30Day6to17"
"HEDISPMHP2019CopdBronchodilators",Default,"measure.HEDISPMHP2019CopdBronchodilators"
"HEDISHP2020APMBloodGlucoseAndCholesterol12to17",Default,"measure.HEDISHP2020APMBloodGlucoseAndCholesterol12to17"
HEDISMY2021COUB,age[18-64],measure.HEDIS_MY2021_COU
"HEDISHPNE2020MMA75Percent51to64",Default,"measure.HEDISHPNE2020MMA75Percent51to64"
OHA2021CSP1,alp.cln,measure.OHA_2021_CSP
HEDISMY2020IETBAL,alp.age[13-17],measure.HEDIS_MY2020_IET
HEDISMY2021AAB,alp.cln.inv,measure.HEDIS_MY2021_AAB
AMPMY2020CDC4,alp.clm.nec,measure.AMPMY2020CDC4
HEDISMY2021HFSB,Default,measure.HEDIS_MY2021_HFS
"HEDISHPNE2018DmardForArthritis",Default,"measure.HEDISHPNE2018DmardForArthritis"
HEDISMY2020HPCT,alp.nec,measure.HEDIS_MY2020_HPC
HEDISMY2021LBP,alp.cln.enc,measure.HEDIS_MY2021_LBP
HEDISPMNIMY2020DMS2,Default,"measure.HEDISPMNIMY2020DMS2"
HEDISMY2020DRRC,alp.cln.enc,measure.HEDIS_MY2020_DRR
HEDISHP2017WellChild3to6,Default,"measure.HEDISHP2017WellChild3to6"
"HEDISPM2020CDCA1cControlLessThan8",Default,"measure.HEDISPM2020CDCA1cControlLessThan8"
HEDISMY2021IETBT,age[18-200],measure.HEDIS_MY2021_IET
HEDISMY2021CWP,alp.cln,measure.HEDIS_MY2021_CWP
HEDISMY2021IETBT,alp.cln.age[13-17],measure.HEDIS_MY2021_IET
HEDISMY2020FUM7,alp.clm.age[65-200],measure.HEDIS_MY2020_FUM
HEDISMY2021IADOUTOP,ine,measure.HEDIS_MY2021_IAD
NgacoSensitiveAdmitRate,Default,"measure.NgacoSensitiveAdmitRate"
HEDISMY2021FUH7,alp.cln.age[6-64],measure.HEDIS_MY2021_FUH
HEDISMY2021BILHDMCOMP,alp.nec,measure.HEDIS_MY2021_CDC
HEDISPMHPMY2020DRRC,Default,"measure.HEDISPMHPMY2020DRRC"
"HEDISHP2019MedManageAsthma75Percent12to18",Default,"measure.HEDISHP2019MedManageAsthma75Percent12to18"
"HEDISHPCNE2020MMA75Percent12to18",Default,"measure.HEDISHPCNE2020MMA75Percent12to18"
HEDISCERTMY2020CISHEPA,Default,"measure.HEDISCERTMY2020CISHEPA"
Hedis2017Amr,Default,measure.Hedis2017Amr
HEDISMY2020TRCM,alp,measure.HEDIS_MY2020_TRC
CMSCORE2021CCPLARC60,alp.nec,"measure.CMS_CORE_2021_CCP"
OHA2021ChildImmC2CISHEPB,alp.cln.nec,"measure.OHA_2021_ChildhoodImmC2"
HEDISMY2021IETBOT,alp.cln.nec.age[13-64],measure.HEDIS_MY2021_IET
HEDISPMMY2020IETAT,Default,"measure.HEDISPMMY2020IETAT"
"HEDISHPCNE2020DDEDementia",Default,"measure.HEDISHPCNE2020DDEDementia"
HEDISMY2020URIB,Default,measure.HEDIS_MY2020_URI
"HEDISPMHP2018ADHDFollowUpInitiation",Default,"measure.HEDISPMHP2018ADHDFollowUpInitiation"
HEDISMY2020IETAOT,age[18-200],measure.HEDIS_MY2020_IET
HEDISMY2021URI,ine.inv,measure.HEDIS_MY2021_URI
"HEDISHP2019WellChild15Months6Visits",Default,"measure.HEDISHP2019WellChild15Months6Visits"
"HEDISPMNI2020CDCA1cControlLessThan8",Default,"measure.HEDISPMNI2020CDCA1cControlLessThan8"
HEDISMY2020TRCMB,Default,measure.HEDIS_MY2020_TRC
HEDISPMNI2020NCSInverted,Default,"measure.HEDISPMNI2020NCSInverted"
HEDISHPNEMY2020FUH7,Default,"measure.HEDISHPNEMY2020FUH7"
"Hedis2017CDCA1cPoorControlNoInteraction",Default,"measure.Hedis2017CDCA1cPoorControlNoInteraction"
HEDISMY2021AAB,alp.cln.enc.age[65-200],measure.HEDIS_MY2021_AAB
HEDISMY2021IADANYOP,Default,measure.HEDIS_MY2021_IAD
"HEDISPMHP2020PCECorticosteroid",Default,"measure.HEDISPMHP2020PCECorticosteroid"
HEDISMY2020HFSA,alp.clm.nec,measure.HEDIS_MY2020_HFS
HEDISMY2021FUH30,alp.clm,measure.HEDIS_MY2021_FUH
HEDISMY2020CRE1,alp.cln.nec.age[65-200],measure.HEDIS_MY2020_CRE
HEDISMY2020CISHEPA,alp.clm,measure.HEDIS_MY2020_CIS
"AZMedicaidMedUtilizationAnx0to5",Default,"measure.AZMedicaidMedUtilizationAnx0to5"
HEDISMY2020MPTOUT,alp.clm,measure.HEDIS_MY2020_MPT
HEDISMY2021CRE3,Default,measure.HEDIS_MY2021_CRE
HEDISMY2020IETBAL,alp.cln.age[13-17],measure.HEDIS_MY2020_IET
HEDISHPNE2020ADV11to14,Default,"measure.HEDISHPNE2020ADV11to14"
HEDISPMNIMY2020WCCB3to11,Default,"measure.HEDISPMNIMY2020WCCB3to11"
HEDISMY2020IMAHPV,alp.cln.enc,measure.HEDIS_MY2020_IMA
"HEDISPMHP2019ChlamydiaScreening",Default,"measure.HEDISPMHP2019ChlamydiaScreening"
"HEDISHPNE2018FrequencyOfPrenatalCare41to60",Default,"measure.HEDISHPNE2018FrequencyOfPrenatalCare41to60"
"AZMedicaidMedUtilizationADHD0to5",Default,"measure.AZMedicaidMedUtilizationADHD0to5"
HEDISMY2021CDC10,ine,measure.HEDIS_MY2021_CDC
HEDISMY2021PND2A,alp.cln.enc,"measure.HEDIS_MY2021_PNDE"
HEDISMY2021IADINPT,alp,measure.HEDIS_MY2021_IAD
"HEDISPM2019CDCA1cControlLessThan7",Default,"measure.HEDISPM2019CDCA1cControlLessThan7"
HEDISHPMY2020AMBER,Default,"measure.HEDISHPMY2020AMBER"
HEDISMY2020WCCC,alp.cln.nec.age[3-11],measure.HEDIS_MY2020_WCC
HEDISHP2020FUH7Day,Default,"measure.HEDISHP2020FUH7Day"
MH2022SDFUP,alp,measure.MH_2022_SDFUP
HEDISPMNI2020COAPain,Default,"measure.HEDISPMNI2020COAPain"
HEDISMY2020ABXtet,ine,measure.HEDIS_MY2020_ABX
HEDISMY2021FUM30,alp.cln.enc,measure.HEDIS_MY2021_FUM
"UDS2016HivLinkageClinical",Default,"measure.UDS2016HivLinkageClinical"
CMSCORE2021OUD2,alp.cln.enc,"measure.CMS_CORE_2021_OUD"
"HEDISCERTMY2020DSFA12to17",Default,"measure.HEDISCERTMY2020DSFA12to17"
HEDISMY2021COUB,alp.clm,measure.HEDIS_MY2021_COU
HEDISMY2020HDO,alp.cln.enc,measure.HEDIS_MY2020_HDO
HEDISMY2021IADOUTT,alp,measure.HEDIS_MY2021_IAD
HEDISPMNIMY2020COA1,Default,"measure.HEDISPMNIMY2020COA1"
HEDISCERTMY2020CWP,Default,"measure.HEDISCERTMY2020CWP"
HEDISMY2020IADIOPOT,alp.nec,measure.HEDIS_MY2020_IAD
"HEDISHPCNE2020TelehealthAdjDSFFollowUp12to17",Default,"measure.HEDISHPCNE2020TelehealthAdjDSFFollowUp12to17"
HEDISPM2020BCS,Default,measure.HEDISPM2020BCS
2021OHAPreventiveDental,alp.clm,"measure.OHA_2021_PREVENTIVEDENTAL"
HEDISMY2020HFSB,alp,measure.HEDIS_MY2020_HFS
"HEDISPM2018CvdStatinAdherence",Default,"measure.HEDISPM2018CvdStatinAdherence"
HEDISMY2021IADOUTAL,alp,measure.HEDIS_MY2021_IAD
HEDISMY2021COL,Default,measure.HEDIS_MY2021_COL
"HEDISHPC2019PharyngitisTesting",Default,"measure.HEDISHPC2019PharyngitisTesting"
CCO2018TobaccoUsers,Default,"measure.CCO2018TobaccoUsers"
HEDISMY2021DMS1,alp.cln,"measure.HEDIS_MY2021_DMSE"
HEDISMY2020IPUS,alp,measure.HEDIS_MY2020_IPU
HEDISMY2021IETBOT,alp.clm.age[13-17],measure.HEDIS_MY2021_IET
HEDISMY2020AMR,alp.cln.nec.age[5-11],measure.HEDIS_MY2020_AMR
HEDISMY2020ABXket,alp.cln.enc,measure.HEDIS_MY2020_ABX
CMSCORE2021SFM1,alp.clm,"measure.CMS_CORE_2021_SFM"
"AZMedicaidMedUtilizationPsych13to18",Default,"measure.AZMedicaidMedUtilizationPsych13to18"
HEDISMY2020DSFA,alp.cln.enc.age[12-17],"measure.HEDIS_MY2020_DSFE"
"HEDISPM2018CopdBronchodilators",Default,"measure.HEDISPM2018CopdBronchodilators"
"HEDISHPCNE2018AvoidanceOfImagingForBackPain",Default,"measure.HEDISHPCNE2018AvoidanceOfImagingForBackPain"
OHA2021WCV,alp.nec,measure.OHA_2021_WCV
HEDISMY2020IADINPOP,alp.cln.nec,measure.HEDIS_MY2020_IAD
"HEDISPMHPMY2020IETAOP18plus",Default,"measure.HEDISPMHPMY2020IETAOP18plus"
OHA2022ChildImmCISCMB10,alp.cln.nec,"measure.OHA_2022_ChildhoodImm"
HEDISMY2020NCS,alp,measure.HEDIS_MY2020_NCS
